    PID TTY          TIME CMD
      1 ?        00:00:03 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 pool_workqueue_release
      4 ?        00:00:00 kworker/R-rcu_g
      5 ?        00:00:00 kworker/R-rcu_p
      6 ?        00:00:00 kworker/R-slub_
      7 ?        00:00:00 kworker/R-netns
      9 ?        00:00:00 kworker/0:0H-events_highpri
     12 ?        00:00:00 kworker/R-mm_pe
     13 ?        00:00:00 rcu_tasks_kthread
     14 ?        00:00:00 rcu_tasks_rude_kthread
     15 ?        00:00:00 rcu_tasks_trace_kthread
     16 ?        00:00:00 ksoftirqd/0
     17 ?        00:00:14 rcu_preempt
     18 ?        00:00:01 migration/0
     19 ?        00:00:00 idle_inject/0
     20 ?        00:00:00 cpuhp/0
     21 ?        00:00:00 cpuhp/2
     22 ?        00:00:00 idle_inject/2
     23 ?        00:00:01 migration/2
     24 ?        00:00:00 ksoftirqd/2
     25 ?        00:00:01 kworker/2:0-i915-unordered
     26 ?        00:00:00 kworker/2:0H-events_highpri
     27 ?        00:00:00 cpuhp/4
     28 ?        00:00:00 idle_inject/4
     29 ?        00:00:00 migration/4
     30 ?        00:00:00 ksoftirqd/4
     32 ?        00:00:00 kworker/4:0H-events_highpri
     33 ?        00:00:00 cpuhp/6
     34 ?        00:00:00 idle_inject/6
     35 ?        00:00:00 migration/6
     36 ?        00:00:00 ksoftirqd/6
     38 ?        00:00:00 kworker/6:0H-events_highpri
     39 ?        00:00:00 cpuhp/8
     40 ?        00:00:00 idle_inject/8
     41 ?        00:00:01 migration/8
     42 ?        00:00:00 ksoftirqd/8
     44 ?        00:00:00 kworker/8:0H-events_highpri
     45 ?        00:00:00 cpuhp/10
     46 ?        00:00:00 idle_inject/10
     47 ?        00:00:01 migration/10
     48 ?        00:00:00 ksoftirqd/10
     50 ?        00:00:00 kworker/10:0H-events_highpri
     51 ?        00:00:00 cpuhp/12
     52 ?        00:00:00 idle_inject/12
     53 ?        00:00:01 migration/12
     54 ?        00:00:00 ksoftirqd/12
     56 ?        00:00:00 kworker/12:0H-events_highpri
     57 ?        00:00:00 cpuhp/14
     58 ?        00:00:00 idle_inject/14
     59 ?        00:00:01 migration/14
     60 ?        00:00:00 ksoftirqd/14
     62 ?        00:00:00 kworker/14:0H-events_highpri
     63 ?        00:00:00 cpuhp/16
     64 ?        00:00:00 idle_inject/16
     65 ?        00:00:04 migration/16
     66 ?        00:00:00 ksoftirqd/16
     68 ?        00:00:00 kworker/16:0H-events_highpri
     69 ?        00:00:00 cpuhp/17
     70 ?        00:00:00 idle_inject/17
     71 ?        00:00:03 migration/17
     72 ?        00:00:00 ksoftirqd/17
